ds,yhat,yhat_lower,yhat_upper
2024-11-01,186.9887621679905,161.01690546479372,209.8488640567033
2024-11-02,188.565382195821,164.8980067410498,213.32185334508648
2024-11-03,190.2910593992545,166.2764536974922,215.6681918998311
2024-11-04,191.44375468228947,167.38701032507083,215.29251509228652
2024-11-05,190.34236649396087,165.14751136270496,212.51589673656528
2024-11-06,192.2845021410175,170.1508360068968,217.15534680404815
2024-11-07,193.85205301881578,171.0861848892861,217.85785809184873
2024-11-08,194.87787964212288,171.1911994418084,217.24808034383835
2024-11-09,196.45449966995406,173.10495892026532,221.09085319875678
2024-11-10,198.18017687338477,175.24505774682854,222.19973792549155
2024-11-11,199.33287215642667,177.67009570347096,222.5262505742185
2024-11-12,198.23148396809276,175.657690623673,221.87552987040962
2024-11-13,200.17361961515135,175.46998161960107,225.9103180985554
2024-11-14,201.73178384445524,177.59902712625725,225.59662381775357
2024-11-15,202.74822381927237,180.69229555620652,226.63274213078438
2024-11-16,204.31545719860858,179.7639397117178,226.83958130611757
2024-11-17,206.0317477535553,182.17787344615124,230.45966849137136
2024-11-18,207.17505638810383,183.09821245123612,230.49550334939144
2024-11-19,206.06428155127912,182.0511272029887,228.84887915323318
2024-11-20,207.99703054984846,182.76454230434246,232.44537739770976
2024-11-21,209.55519477915513,186.4289969227847,233.07683700816125
2024-11-22,210.57163475396834,186.66078071929687,233.68985425900058
2024-11-23,212.13886813330896,186.84451404211646,234.66441689075467
2024-11-24,213.85515868825368,190.9490527168178,235.8753063778275
2024-11-25,214.41497110511534,193.03908966576512,237.60148899495377
2024-11-26,212.72070005060695,189.6127451126734,238.04298676266916
2024-11-27,214.06995283149044,191.03010730821833,237.40322595426818
2024-11-28,215.04462084311334,191.47629241034792,239.0017007977471
2024-11-29,215.47756460024303,190.08695142108556,239.04998109362987
2024-11-30,216.46130176189922,193.71764934955746,239.73071355138893
2024-12-01,217.59409609916074,194.53123140651053,240.87170821494564
2024-12-02,218.15390851602777,197.43533511614368,241.09191864316003
2024-12-03,216.4596374615135,193.45168469302536,239.38740410949916
2024-12-04,217.8088902423962,195.39439624803902,243.9152264304231
2024-12-05,218.7835582540223,194.29822547307074,242.83665409910117
2024-12-06,219.21650201115182,196.08823413984632,243.71351770031498
2024-12-07,219.57868451035097,196.58698847673418,243.18338288472773
2024-12-08,220.08992418515408,195.8422264355799,244.21499263007632
2024-12-09,220.02818193956352,195.5529408060408,243.0502315882905
2024-12-10,217.71235622259368,193.81714336825038,242.69125427685506
2024-12-11,218.4400543410224,194.07049750864755,240.88016562489358
2024-12-12,218.79316769018828,195.78676928440817,241.37830930446881
2024-12-13,218.6045567848634,195.3136167670146,241.7323922059341
2024-12-14,218.96673928406318,193.78778688213106,241.51188379618162
2024-12-15,219.47797895886353,193.5231822136913,242.42750959026313
2024-12-16,219.41623671327392,196.0694620738962,244.13353616840945
2024-12-17,217.10041099630354,192.72255075632617,239.8290889132678
2024-12-18,217.82810911473368,193.21965590713992,241.38785687657182
2024-12-19,217.92886832938498,192.57344115803355,241.81830048805023
2024-12-20,217.48790328955084,192.8476727426601,239.64374927086018
2024-12-21,217.59773165423752,195.77580234799933,240.2837817570861
2024-12-22,217.8566171945241,192.5042291411033,240.2401630604575
2024-12-23,217.54252081442024,194.87018209783355,241.46555040273
2024-12-24,214.97434096294182,190.09811026942572,240.73771866192843
